year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp
2022,1,1,Neve - Nebbia  ,nebbia ,-1 °C ,1 °C ,3 °C 
2022,1,2,Nebbia  ,nebbia ,-3 °C ,0 °C ,3 °C 
2022,1,3,Nebbia  ,nebbia al mattino ,1 °C ,3 °C ,5 °C 
2022,1,4,Pioggia - Nebbia  ,pioggia e schiarite ,5 °C ,6 °C ,6 °C 
2022,1,5,Pioggia - Nebbia  ,pioggia e schiarite ,5 °C ,6 °C ,8 °C 
2022,1,6,Pioggia  ,poco nuvoloso ,0 °C ,4 °C ,8 °C 
2022,1,7,Nessuno ,poco nuvoloso ,-3 °C ,1 °C ,7 °C 
2022,1,8,Nessuno ,sereno ,-5 °C ,0 °C ,5 °C 
2022,1,9,Nessuno ,poco nuvoloso ,-3 °C ,-1 °C ,2 °C 
2022,1,10,Nessuno ,poco nuvoloso ,-3 °C ,1 °C ,5 °C 
2022,1,11,Nessuno ,sereno ,-5 °C ,1 °C ,9 °C 
2022,1,12,Nessuno ,sereno ,-4 °C ,1 °C ,8 °C 
2022,1,13,Nessuno ,sereno ,-6 °C ,0 °C ,8 °C 
2022,1,14,Nessuno ,sereno ,-3 °C ,4 °C ,11 °C 
2022,1,15,Nessuno ,sereno ,-3 °C ,3 °C ,12 °C 
2022,1,16,Nessuno ,sereno ,-3 °C ,3 °C ,11 °C 
2022,1,17,Nessuno ,sereno ,-3 °C ,3 °C ,13 °C 
2022,1,18,Nebbia  ,sereno ,-3 °C ,3 °C ,12 °C 
2022,1,19,Nebbia  ,nebbia al mattino ,-4 °C ,1 °C ,3 °C 
2022,1,20,Nebbia  ,nebbia al mattino ,-2 °C ,2 °C ,5 °C 
2022,1,21,Neve - Nebbia  ,nebbia al mattino ,-3 °C ,0 °C ,6 °C 
2022,1,22,Nebbia  ,sereno ,-6 °C ,0 °C ,6 °C 
2022,1,23,Nebbia  ,nebbia al mattino ,-4 °C ,0 °C ,8 °C 
2022,1,24,Nebbia  ,nebbia al mattino ,-5 °C ,-2 °C ,1 °C 
2022,1,25,Nessuno ,poco nuvoloso ,1 °C ,3 °C ,7 °C 
2022,1,26,Nessuno ,nubi sparse ,1 °C ,3 °C ,4 °C 
2022,1,27,Nebbia  ,nebbia al mattino ,2 °C ,3 °C ,5 °C 
2022,1,28,Nebbia  ,nebbia al mattino ,-3 °C ,2 °C ,7 °C 
2022,1,29,Nessuno ,sereno ,-5 °C ,2 °C ,8 °C 
2022,1,30,Nessuno ,sereno ,-4 °C ,1 °C ,9 °C 
2022,1,31,Nessuno ,poco nuvoloso ,-3 °C ,2 °C ,8 °C 
2022,2,1,Nessuno ,sereno ,-1 °C ,6 °C ,14 °C 
2022,2,2,Nessuno ,sereno ,-4 °C ,4 °C ,14 °C 
2022,2,3,Nessuno ,sereno ,-2 °C ,6 °C ,13 °C 
2022,2,4,Pioggia  ,poco nuvoloso ,1 °C ,6 °C ,10 °C 
2022,2,5,Nessuno ,poco nuvoloso ,1 °C ,6 °C ,12 °C 
2022,2,6,Nebbia  ,nubi sparse ,-2 °C ,3 °C ,9 °C 
2022,2,7,Nebbia  ,nebbia al mattino ,2 °C ,7 °C ,14 °C 
2022,2,8,Nessuno ,sereno ,-3 °C ,4 °C ,14 °C 
2022,2,9,Nessuno ,sereno ,-3 °C ,4 °C ,14 °C 
2022,2,10,Nessuno ,poco nuvoloso ,-1 °C ,6 °C ,13 °C 
2022,2,11,Nessuno ,nubi sparse ,3 °C ,7 °C ,11 °C 
2022,2,12,Nessuno ,sereno ,-1 °C ,5 °C ,11 °C 
2022,2,13,Nessuno ,sereno ,-4 °C ,2 °C ,9 °C 
2022,2,14,Pioggia  ,poco nuvoloso ,-2 °C ,4 °C ,7 °C 
2022,2,15,Pioggia  ,pioggia e schiarite ,2 °C ,3 °C ,5 °C 
2022,2,16,Nebbia  ,nebbia al mattino ,-1 °C ,5 °C ,10 °C 
2022,2,17,Nebbia  ,nebbia al mattino ,0 °C ,2 °C ,5 °C 
2022,2,18,Nessuno ,poco nuvoloso ,-2 °C ,5 °C ,12 °C 
2022,2,19,Nebbia  ,nubi sparse ,6 °C ,9 °C ,11 °C 
2022,2,20,Nebbia  ,nebbia al mattino ,4 °C ,9 °C ,14 °C 
2022,2,21,Nebbia  ,poco nuvoloso ,2 °C ,7 °C ,15 °C 
2022,2,22,Nessuno ,sereno ,-1 °C ,8 °C ,16 °C 
2022,2,23,Nessuno ,sereno ,0 °C ,8 °C ,15 °C 
2022,2,24,Nessuno ,sereno ,0 °C ,7 °C ,14 °C 
2022,2,25,Pioggia  ,poco nuvoloso ,-1 °C ,7 °C ,13 °C 
2022,2,26,Nessuno ,sereno ,1 °C ,6 °C ,12 °C 
2022,2,27,Nessuno ,sereno ,0 °C ,6 °C ,12 °C 
2022,2,28,Pioggia  ,sereno ,-2 °C ,5 °C ,11 °C 
2022,3,1,Nessuno ,poco nuvoloso ,-1 °C ,5 °C ,10 °C 
2022,3,2,Nessuno ,sereno ,-4 °C ,5 °C ,11 °C 
2022,3,3,Nessuno ,sereno ,2 °C ,7 °C ,13 °C 
2022,3,4,Pioggia  ,poco nuvoloso ,1 °C ,6 °C ,12 °C 
2022,3,5,Nessuno ,poco nuvoloso ,4 °C ,6 °C ,9 °C 
2022,3,6,Nessuno ,poco nuvoloso ,0 °C ,5 °C ,9 °C 
2022,3,7,Nessuno ,poco nuvoloso ,-3 °C ,4 °C ,9 °C 
2022,3,8,Nessuno ,poco nuvoloso ,2 °C ,5 °C ,9 °C 
2022,3,9,Nessuno ,sereno ,-3 °C ,5 °C ,12 °C 
2022,3,10,Nessuno ,sereno ,-3 °C ,7 °C ,15 °C 
2022,3,11,Nessuno ,poco nuvoloso ,5 °C ,7 °C ,11 °C 
2022,3,12,Nessuno ,poco nuvoloso ,-1 °C ,5 °C ,10 °C 
2022,3,13,Nessuno ,poco nuvoloso ,-4 °C ,4 °C ,11 °C 
2022,3,14,Nessuno ,poco nuvoloso ,5 °C ,7 °C ,12 °C 
2022,3,15,Nessuno ,poco nuvoloso ,3 °C ,8 °C ,13 °C 
2022,3,16,Nessuno ,poco nuvoloso ,6 °C ,10 °C ,16 °C 
2022,3,17,Nessuno ,poco nuvoloso ,7 °C ,10 °C ,14 °C 
2022,3,18,Nessuno ,poco nuvoloso ,6 °C ,11 °C ,14 °C 
2022,3,19,Nessuno ,sereno ,1 °C ,8 °C ,14 °C 
2022,3,20,Nessuno ,poco nuvoloso ,5 °C ,10 °C ,14 °C 
